session_id,subject_id,segment,key_id,key_category,press_time_ms,release_time_ms,dwell_ms,shift_held,shift_hold_ms
session_003,candidate_09,pangram,key_11,alphanum,51266,51389.6,123.6,False,0
session_003,candidate_09,pangram,key_30,alphanum,51578.1,51678.1,100,False,0
session_003,candidate_09,pangram,key_19,alphanum,52620.1,52700.8,80.7,False,0
session_003,candidate_09,pangram,key_18,space,52750.5,52882.8,132.3,False,0
session_003,candidate_09,pangram,key_27,alphanum,53153.9,53290.3,136.4,False,0
session_003,candidate_09,pangram,key_23,alphanum,53241.8,53358,116.2,False,0
session_003,candidate_09,pangram,key_22,alphanum,53322,53420.3,98.3,False,0
session_003,candidate_09,pangram,key_02,alphanum,53394,53500.1,106.1,False,0
session_003,candidate_09,pangram,key_08,alphanum,53535.1,53634.4,99.3,False,0
session_003,candidate_09,pangram,key_18,space,53620.5,53719.9,99.4,False,0
session_003,candidate_09,pangram,key_28,alphanum,53754.4,53908.3,153.9,False,0
session_003,candidate_09,pangram,key_16,alphanum,53876.1,54052.2,176.1,False,0
session_003,candidate_09,pangram,key_14,alphanum,54024.8,54137,112.2,False,0
session_003,candidate_09,pangram,key_17,alphanum,54225.4,54323.2,97.8,False,0
session_003,candidate_09,pangram,key_18,space,54328,54434.4,106.4,False,0
session_003,candidate_09,pangram,key_26,alphanum,54476.7,54577,100.3,False,0
session_003,candidate_09,pangram,key_06,alphanum,54628.5,54740.4,111.9,False,0
session_003,candidate_09,pangram,key_12,alphanum,54776.9,54841.2,64.3,False,0
session_003,candidate_09,pangram,key_01,alphanum,55020.8,55152.1,131.3,False,0
session_003,candidate_09,pangram,key_16,alphanum,55134.1,55265.9,131.8,False,0
session_003,candidate_09,pangram,key_07,alphanum,55234.9,55399.2,164.3,False,0
session_003,candidate_09,pangram,key_18,space,55385.3,55490.8,105.5,False,0
session_003,candidate_09,pangram,key_29,alphanum,55553.7,55657.5,103.8,False,0
session_003,candidate_09,pangram,key_23,alphanum,55727.4,55832.6,105.2,False,0
session_003,candidate_09,pangram,key_20,alphanum,55977,56117,140,False,0
session_003,candidate_09,pangram,key_09,alphanum,56068,56219.7,151.7,False,0
session_003,candidate_09,pangram,key_17,alphanum,56820,56920.2,100.2,False,0
session_003,candidate_09,pangram,key_15,alphanum,56921.2,57000.7,79.5,False,0
session_003,candidate_09,pangram,key_06,alphanum,56999.8,57117.5,117.7,False,0
session_003,candidate_09,pangram,key_18,space,57076,57200.2,124.2,False,0
session_003,candidate_09,pangram,key_14,alphanum,57282,57366.3,84.3,False,0
session_003,candidate_09,pangram,key_22,alphanum,57371.1,57454.5,83.4,False,0
session_003,candidate_09,pangram,key_25,alphanum,57708.7,57852.8,144.1,False,0
session_003,candidate_09,pangram,key_06,alphanum,57820.2,57974.1,153.9,False,0
session_003,candidate_09,pangram,key_18,space,57961.6,58051.1,89.5,False,0
session_003,candidate_09,pangram,key_12,alphanum,58159.6,58232.4,72.8,False,0
