session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,8983.6,21.7812,0
session_003,candidate_09,9000.3,12.7812,0
session_003,candidate_09,9016.9,15.4531,0
session_003,candidate_09,9032.6,15.2656,0
session_003,candidate_09,9050.4,13.5273,0
session_003,candidate_09,9066.1,11.7969,0
session_003,candidate_09,9082.8,7.46094,0
session_003,candidate_09,9100.4,11.0938,0
session_003,candidate_09,9117.1,7.94531,0
session_003,candidate_09,9133.7,7.94141,0
session_003,candidate_09,9150.4,10.1641,0
session_003,candidate_09,9167.1,12.9805,0
session_003,candidate_09,9183.6,14.4531,0
session_003,candidate_09,9200.4,11.7969,0
session_003,candidate_09,9217.2,10.9805,0
session_003,candidate_09,9233.7,10.0781,0
session_003,candidate_09,9250.4,8.97266,0
session_003,candidate_09,9267,5.34375,0
session_003,candidate_09,9283.7,2.72656,0
session_003,candidate_09,9300.4,1.50391,0
session_003,candidate_09,9317,0.824219,0
session_003,candidate_09,9333.6,0.515625,0
session_003,candidate_09,9350.3,0.828125,0
session_003,candidate_09,9367,2.30078,0
session_003,candidate_09,9383.6,2.72266,0
session_003,candidate_09,9400.3,3.68359,0.367188
session_003,candidate_09,9417,3.6875,0
session_003,candidate_09,9433.5,4.22266,0
session_003,candidate_09,9450.3,3.20703,0
session_003,candidate_09,9483.7,3.42969,0
session_003,candidate_09,9500.4,0.828125,0
session_003,candidate_09,9517.1,0.515625,0
session_003,candidate_09,9533.8,0.257812,0
session_003,candidate_09,9566.4,0,0.234375
session_003,candidate_09,9650.5,-0.472656,0
session_003,candidate_09,9683.3,-3.39453,0.285156
session_003,candidate_09,9700.5,-0.941406,0
session_003,candidate_09,9717,-4.17969,0
session_003,candidate_09,9733.6,-3.21484,0
session_003,candidate_09,9750.3,-4.23047,0
session_003,candidate_09,9767,-5.35938,0
session_003,candidate_09,9783.6,-4.75391,0
session_003,candidate_09,9800.4,-5.35547,0
session_003,candidate_09,9833.7,-8.99609,0
session_003,candidate_09,9850.4,-3.69531,0
session_003,candidate_09,9867.1,-3.20312,0
session_003,candidate_09,9884.1,-2.30859,0
session_003,candidate_09,9916,-4.61719,0
session_003,candidate_09,9932.7,-2.30469,0.308594
session_003,candidate_09,9949.4,-4.20703,0.757812
session_003,candidate_09,9966.1,-4.98828,0.789062
session_003,candidate_09,9982.8,-3.75,0.394531
session_003,candidate_09,10000.3,-5.35938,0.394531
session_003,candidate_09,10017.1,-5.98828,0.839844
session_003,candidate_09,10033.7,-5.95312,0.84375
session_003,candidate_09,10050.4,-6.60156,0.871094
session_003,candidate_09,10066,-7.92578,0.929688
session_003,candidate_09,10083.6,-6.00781,0.84375
session_003,candidate_09,10100.4,-8.6875,0.953125
session_003,candidate_09,10117,-7.25,0.449219
session_003,candidate_09,10133.7,-7.95312,0.480469
session_003,candidate_09,10150.4,-13.7031,0.507812
session_003,candidate_09,10167,-10.9688,0.503906
session_003,candidate_09,10183.6,-12.6758,1.09766
session_003,candidate_09,10199.4,-13.6055,0.589844
session_003,candidate_09,10216,-14.4766,1.15234
session_003,candidate_09,10233.7,-22.8398,0.726562
session_003,candidate_09,10250.4,-14.8125,0
session_003,candidate_09,10267,-26.5078,0.785156
session_003,candidate_09,10283.7,-14.8125,0.507812
session_003,candidate_09,10300.4,-18.4141,0.644531
session_003,candidate_09,10317,-17.4258,0.726562
session_003,candidate_09,10332.6,-17.3633,0
session_003,candidate_09,10350.3,-15.4062,0
session_003,candidate_09,10367,-16.3867,0
session_003,candidate_09,10383.1,-14.4766,0
session_003,candidate_09,10399.3,-12.6406,0
session_003,candidate_09,10417,-10.9883,0
session_003,candidate_09,10433.7,-5.90234,0
session_003,candidate_09,10450.4,-15.2383,-1.53125
session_003,candidate_09,10467.1,-10.1719,-1.02344
session_003,candidate_09,10483.2,-8.65625,-1.44922
session_003,candidate_09,10499.4,-9.41406,-1.50391
session_003,candidate_09,10517,-7.95312,-1.87109
session_003,candidate_09,10533.1,-7.75,-1.44531
session_003,candidate_09,10550.2,-7.75,-1.44531
session_003,candidate_09,10567,-7.95312,-1.41797
session_003,candidate_09,10583.9,-12.2773,-1.89844
session_003,candidate_09,10617,-12.5469,-2.17969
session_003,candidate_09,10633.7,-8.0625,-0.9375
session_003,candidate_09,10650.4,-5.9375,-0.851562
session_003,candidate_09,10667,-6.17578,-0.855469
session_003,candidate_09,10700.4,-9.69922,-1.19531
session_003,candidate_09,10733.6,-9.05469,-1.53516
session_003,candidate_09,10750.3,-3.75,-0.742188
session_003,candidate_09,10767.1,-3.67969,-0.371094
session_003,candidate_09,10800,-6.91016,-0.371094
session_003,candidate_09,10817,-4.23047,0
