session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,5100.07,82.6584,11.9453,83.5171
session_003,candidate_09,1,sinusoidal,5116.77,86.0823,12.4258,86.9745
session_003,candidate_09,1,sinusoidal,5133.37,83.801,12.9336,84.7932
session_003,candidate_09,1,sinusoidal,5150.07,84.4227,13.4375,85.4854
session_003,candidate_09,1,sinusoidal,5166.67,83.353,14.5352,84.6109
session_003,candidate_09,1,sinusoidal,5198.97,78.0442,16.2773,79.7236
session_003,candidate_09,1,sinusoidal,5216.77,67.8311,17.0039,69.9299
session_003,candidate_09,1,sinusoidal,5233.37,64.8235,17.0039,67.0165
session_003,candidate_09,1,sinusoidal,5250.07,50.2055,17.7891,53.2639
session_003,candidate_09,1,sinusoidal,5266.77,47.2822,18.2969,50.699
session_003,candidate_09,1,sinusoidal,5283.37,40.6712,18.9414,44.8656
session_003,candidate_09,1,sinusoidal,5300.07,35.0901,19.668,40.2261
session_003,candidate_09,1,sinusoidal,5333.37,25.793,19.668,32.4362
session_003,candidate_09,1,sinusoidal,5350.07,21.0759,19.668,28.8275
session_003,candidate_09,1,sinusoidal,5366.07,17.6984,19.668,26.4587
session_003,candidate_09,1,sinusoidal,5382.37,16.2698,19.668,25.5252
session_003,candidate_09,1,sinusoidal,5400.07,17.3327,19.668,26.2155
session_003,candidate_09,1,sinusoidal,5416.77,22.668,19.668,30.0112
session_003,candidate_09,1,sinusoidal,5433.47,18.5246,18.1367,25.9249
session_003,candidate_09,1,sinusoidal,5450.07,19.2261,17.1133,25.7393
session_003,candidate_09,1,sinusoidal,5466.37,21.0837,15.6641,26.2657
session_003,candidate_09,1,sinusoidal,5482.37,21.8209,14.1602,26.0127
session_003,candidate_09,1,sinusoidal,5500.07,24.8885,12.2891,27.7572
session_003,candidate_09,1,sinusoidal,5516.17,26.9601,10.8438,29.0591
session_003,candidate_09,1,sinusoidal,5533.27,29.417,9.39844,30.8819
session_003,candidate_09,1,sinusoidal,5550.07,31.2539,7.98047,32.2567
session_003,candidate_09,1,sinusoidal,5566.77,28.4627,6.08203,29.1053
session_003,candidate_09,1,sinusoidal,5600.07,34.0543,3.90234,34.2771
session_003,candidate_09,1,sinusoidal,5616.67,34.6252,2.96484,34.7519
session_003,candidate_09,1,sinusoidal,5633.37,37.0848,2.11328,37.1449
session_003,candidate_09,1,sinusoidal,5650.07,39.0064,1.25781,39.0267
session_003,candidate_09,1,sinusoidal,5683.37,44.5204,0.0625,44.5204
session_003,candidate_09,1,sinusoidal,5716.67,49.3747,-1.47266,49.3967
session_003,candidate_09,1,sinusoidal,5733.37,52.0876,-2.21484,52.1347
session_003,candidate_09,1,sinusoidal,5750.07,54.5179,-2.58594,54.5792
session_003,candidate_09,1,sinusoidal,5783.07,58.6145,-2.95703,58.689
session_003,candidate_09,1,sinusoidal,5800.07,59.4876,-2.95703,59.561
session_003,candidate_09,1,sinusoidal,5816.67,59.8604,-3.35547,59.9544
session_003,candidate_09,1,sinusoidal,5833.47,60.9279,-3.35547,61.0202
session_003,candidate_09,1,sinusoidal,5850.07,62.8762,-3.35547,62.9657
session_003,candidate_09,1,sinusoidal,5866.67,64.4335,-3.67188,64.538
session_003,candidate_09,1,sinusoidal,5883.37,65.9799,-3.67188,66.082
session_003,candidate_09,1,sinusoidal,5900.07,67.1227,-3.67188,67.223
session_003,candidate_09,1,sinusoidal,5933.37,67.4444,-3.67188,67.5443
session_003,candidate_09,1,sinusoidal,5950.07,65.5525,-3.67188,65.6552
session_003,candidate_09,1,sinusoidal,5966.27,62.6286,-3.67188,62.7362
session_003,candidate_09,1,sinusoidal,5983.47,59.5068,-3.67188,59.62
